Episode;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
0;-16.2;5.0;-145.0;189.85;444.7;510.2;551.6;622.6;624.7;625.5;613.6;664.9;689.5;634.4;627.4;712.6;684.1;675.4;664.0;613.0;662.1;599.9;533.4;658.8;600.9;636.5;682.1;682.3;631.1;687.6
1;-88.3;-17.65;99.0;212.4;380.7;501.0;556.9;552.6;647.2;603.1;548.0;560.9;646.8;606.7;634.3;654.5;687.3;665.6;635.4;463.4;668.2;652.7;678.7;653.8;690.5;712.5;541.2;681.0;622.7;687.8
2;-110.2;115.1;-33.5;252.8;487.3;545.5;552.5;626.1;682.1;691.6;679.2;675.9;659.7;689.2;715.7;715.8;711.1;706.5;728.0;730.7;682.7;745.1;733.2;734.1;741.7;745.8;735.9;730.3;709.5;758.9
3;-194.85;-47.65;67.15;243.7;454.2;559.4;571.2;631.9;642.2;609.2;625.2;615.4;683.2;706.0;709.1;739.7;734.7;695.0;704.8;740.4;739.6;700.7;697.1;628.9;744.6;712.2;658.1;725.0;678.4;556.0
4;-150.3;-47.3;-10.3;230.1;376.7;539.1;549.6;612.5;644.4;628.9;657.2;693.6;698.0;664.7;669.8;686.1;675.1;675.0;515.2;576.0;661.3;634.9;624.4;511.7;388.3;446.4;703.1;691.6;656.4;717.6
5;-60.7;7.6;-272.5;331.8;403.8;554.4;595.0;648.6;655.7;621.2;652.6;704.1;693.1;687.4;712.1;691.2;694.8;644.6;716.2;739.6;736.5;741.4;715.6;744.2;744.2;760.7;684.5;725.8;747.2;748.4
6;-115.6;-280.8;39.75;321.7;380.2;583.5;636.3;617.5;608.9;645.2;640.0;602.5;623.4;461.3;460.7;513.7;606.9;648.3;684.1;616.6;637.2;555.2;488.9;704.4;615.2;571.3;575.0;572.5;562.0;551.1
7;40.95;52.05;81.2;324.5;520.1;556.8;516.9;646.6;605.4;581.5;696.5;660.1;674.5;570.4;708.7;692.6;720.3;690.2;609.1;661.8;648.4;686.1;695.7;479.1;523.4;568.2;700.8;670.2;706.8;696.1
8;108.4;-192.45;-39.25;340.4;374.5;518.0;570.9;544.4;634.8;587.9;643.5;657.4;669.1;634.6;642.8;512.0;478.8;500.0;310.2;486.5;631.9;601.0;607.9;521.3;389.6;544.5;432.3;609.9;575.8;360.2
9;-48.15;-150.1;-39.25;293.7;393.8;548.3;624.9;554.0;635.8;670.5;675.2;545.4;557.0;567.8;537.6;606.2;648.0;682.8;663.8;745.4;720.9;728.8;718.1;698.9;692.0;702.0;686.3;723.8;729.0;673.0
10;20.05;-103.85;37.25;324.2;457.0;506.5;576.0;587.9;648.4;619.9;626.8;697.5;681.5;686.2;685.9;584.4;597.6;555.0;642.7;645.4;694.5;644.4;715.0;687.6;691.0;702.0;684.1;710.6;717.7;733.2
11;-40.45;21.5;-116.9;290.2;450.1;565.2;575.1;557.1;571.8;660.7;627.6;722.3;725.4;728.0;710.4;731.1;700.7;685.1;740.1;711.3;659.6;714.6;729.5;702.1;727.6;729.1;743.0;733.3;672.0;687.0
12;-162.9;35.2;-83.4;256.85;569.5;567.1;630.0;607.5;633.5;674.7;682.1;694.9;618.8;510.3;543.5;585.9;621.0;486.7;588.9;568.0;551.9;551.6;527.4;538.7;578.9;508.9;562.1;567.9;662.8;729.9
13;12.0;-109.3;-33.9;267.8;398.3;507.2;593.2;593.4;522.5;649.6;686.1;576.5;493.2;502.0;491.8;642.8;649.7;681.4;680.2;637.2;567.5;532.6;550.0;709.9;713.7;418.2;594.3;732.7;698.8;726.5
14;-115.25;-12.75;-125.6;297.7;464.5;544.8;559.5;525.3;591.6;591.1;607.1;725.6;720.4;712.7;718.0;689.6;656.7;735.5;754.8;751.2;670.1;748.1;756.5;702.2;702.9;724.4;713.4;658.9;558.3;548.0
15;-84.45;-11.15;-56.0;293.7;450.9;477.3;618.5;604.2;620.9;662.7;661.1;658.0;673.5;652.2;717.4;703.7;687.1;672.7;674.1;705.0;668.4;579.1;538.2;517.0;229.0;489.2;550.7;500.8;547.3;485.5
16;26.3;-107.45;-9.85;276.7;405.0;387.6;537.7;577.1;640.5;591.8;570.0;651.3;703.7;700.9;668.3;610.9;696.9;716.2;652.6;643.0;595.0;614.5;638.6;625.1;597.8;660.9;648.8;414.85;378.7;576.9
17;-82.5;38.85;93.0;274.0;390.5;488.3;520.6;587.0;668.7;677.3;678.2;662.0;698.6;692.5;697.9;703.0;734.7;743.8;739.3;744.9;717.3;743.8;705.7;754.9;742.3;760.3;742.0;760.7;699.5;726.1
18;-22.65;-8.4;68.65;300.3;472.8;474.2;523.6;523.6;652.5;601.5;659.2;521.7;606.4;632.8;613.9;608.5;638.7;685.4;697.1;667.2;739.5;746.7;719.7;706.4;694.5;664.6;668.2;621.5;658.0;702.4
19;-52.95;-79.2;-142.3;314.2;304.8;480.6;556.8;658.7;627.3;587.0;670.9;598.7;612.4;600.8;642.4;671.8;673.9;714.7;699.4;678.5;645.7;649.9;632.8;679.7;708.2;716.4;719.8;727.9;736.0;609.6
