Episode;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
0;-102.1;-66.7;-111.0;-53.0;-27.3;16.5;118.5;68.1;118.6;142.3;140.3;143.1;101.3;142.7;168.0;109.3;123.0;91.2;44.1;186.0;156.1;156.9;174.1;186.2;154.7;128.3;183.9;169.5;185.5;145.6
1;-91.7;-100.6;-26.8;-26.4;4.2;60.2;65.0;49.7;151.8;103.1;161.2;114.9;162.8;160.8;143.5;184.8;154.8;174.4;186.8;180.6;130.1;155.5;180.1;165.8;149.0;184.9;178.9;184.8;187.0;113.3
2;-86.9;-114.0;-65.9;-12.8;55.0;-26.1;112.0;58.5;111.8;117.4;145.5;159.5;123.2;156.8;148.7;173.9;160.0;146.7;185.0;141.9;172.9;186.5;139.8;156.7;159.6;97.8;174.1;182.4;148.3;150.3
3;-142.0;-82.6;-103.5;-20.7;-29.6;65.6;44.0;93.8;157.6;104.1;126.4;161.5;144.9;180.7;151.3;127.5;173.8;134.4;146.7;168.8;174.7;187.0;145.0;163.8;186.2;186.4;153.1;165.2;130.8;186.6
4;-130.6;-93.5;-91.3;-10.3;-22.7;72.9;39.7;72.5;141.7;120.0;117.6;148.3;120.8;132.4;158.1;183.7;134.3;174.3;183.8;143.3;143.3;180.0;130.6;168.7;135.3;166.5;174.8;144.9;187.5;174.8
5;-33.4;-45.3;-44.3;-7.4;-48.1;41.3;50.0;91.4;90.9;149.6;147.5;148.9;143.2;151.2;182.5;70.6;154.5;152.0;136.9;184.1;182.9;115.5;184.5;186.0;162.4;186.3;186.7;121.4;186.3;143.6
6;-69.9;-144.9;-51.7;-22.3;20.2;70.0;25.5;80.2;100.0;93.8;141.5;130.0;130.2;128.8;137.0;168.9;143.5;122.6;163.6;174.7;173.9;160.4;170.1;146.6;158.3;158.1;168.4;176.6;155.8;187.8
7;-93.5;-106.5;-49.9;-78.9;31.8;2.0;122.6;103.3;37.8;159.8;146.2;160.5;126.1;138.9;173.6;176.8;156.8;172.1;186.3;130.25;152.3;178.3;186.5;165.6;141.1;184.3;187.3;185.6;144.8;125.5
8;-129.2;-44.3;11.0;-77.5;26.3;10.6;37.5;107.3;122.3;98.2;120.0;163.4;162.9;158.8;171.4;175.8;129.6;157.8;152.6;143.8;153.2;174.0;143.3;126.3;159.5;171.4;152.2;171.5;149.1;135.0
9;-80.0;-47.7;-98.2;-39.2;54.7;10.1;53.1;86.0;142.1;158.0;133.2;154.1;157.2;176.3;111.7;184.2;141.3;181.1;183.3;119.3;184.3;186.4;185.1;128.25;153.4;158.9;126.6;121.7;184.4;123.5
10;-32.6;-89.3;-42.7;-38.4;41.1;-10.9;76.6;143.9;85.2;90.9;153.4;115.7;139.1;150.6;139.6;157.3;154.1;162.3;176.3;138.6;167.1;165.5;144.0;155.1;125.9;157.6;175.4;163.8;176.5;155.6
11;-165.2;-78.9;-39.1;37.6;-0.9;38.5;74.2;54.3;152.6;137.6;112.4;165.5;114.6;183.8;163.6;146.2;169.7;151.7;184.0;133.7;182.2;183.5;186.7;169.6;186.0;107.7;146.0;181.3;131.4;184.6
12;-149.6;-71.8;-34.9;-56.0;3.8;24.1;34.1;149.6;91.5;124.0;123.0;157.3;169.9;132.8;176.7;170.9;117.7;145.3;185.7;187.1;182.6;145.7;176.5;185.6;186.7;120.9;163.8;152.6;185.3;187.1
13;-87.4;-74.8;-93.6;2.6;18.2;-24.8;72.6;110.4;97.2;107.3;154.5;152.9;119.7;147.8;156.3;142.2;176.2;123.2;172.7;185.2;149.1;163.5;165.4;170.1;149.5;167.9;132.5;187.3;152.9;186.6
14;-84.0;-71.3;-93.5;-72.9;-27.0;8.9;101.2;94.9;118.6;134.0;143.8;132.2;147.8;178.9;151.9;169.9;121.9;184.1;184.1;115.2;185.4;185.2;127.4;129.3;170.2;183.1;184.4;118.1;165.2;163.3
15;-104.7;-73.6;-54.9;25.8;-77.4;68.4;125.9;34.7;133.6;149.9;142.0;161.8;80.3;141.4;176.5;156.0;184.7;147.6;184.4;144.4;167.9;185.4;131.8;186.0;173.5;185.4;187.6;128.3;141.7;162.5
16;-159.6;-74.7;-53.9;-16.9;-42.5;40.8;70.7;90.2;124.2;145.0;122.7;141.7;175.3;182.4;147.0;140.1;162.5;159.7;177.5;169.3;176.0;187.0;185.1;158.7;185.9;112.3;159.9;158.4;186.4;185.9
17;-49.2;-75.7;-78.0;-11.8;-129.9;103.8;81.4;77.9;114.5;140.5;128.8;148.0;162.5;137.1;136.8;163.1;151.8;164.1;167.7;182.3;151.9;132.2;168.6;186.4;136.7;176.6;173.0;159.0;168.7;188.5
18;-91.2;-74.2;-74.7;-107.0;-54.9;32.2;85.3;97.8;123.8;144.6;92.3;168.8;152.0;146.3;145.9;147.7;151.9;154.2;178.1;116.3;89.5;128.1;139.8;149.5;169.1;157.1;165.6;184.9;165.6;186.6
19;-45.4;-62.6;-86.1;-55.5;-19.9;34.6;117.1;107.7;113.0;161.0;127.4;164.7;151.1;145.9;156.4;181.1;119.8;180.9;158.6;185.5;171.3;117.75;174.5;185.8;172.5;181.5;128.9;184.7;174.3;148.9
